               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1139,            0.032521,                   0,              0.0025,             0.15789,           0.0058537,           0.0024383,            0.084653,            0.026172,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.078223,            0.032535,                   0,           0.0033873,             0.26316,           0.0086942,           0.0024874,            0.081779,            0.024835,                   0,            0.095495,          0.00049505,          0.00049505
                   2,            0.076683,            0.030373,                   0,           0.0033333,             0.26316,           0.0062271,           0.0023223,            0.072537,            0.023079,                   0,            0.092784,          0.00078416,          0.00078416
                   3,            0.073112,            0.030487,                   0,            0.059215,            0.052632,            0.036586,            0.010866,            0.059121,            0.021161,                   0,            0.090067,           0.0010673,           0.0010673
                   4,            0.086197,            0.028904,                   0,            0.002963,             0.42105,           0.0095522,           0.0027077,            0.050429,            0.019428,                   0,            0.087345,           0.0013446,           0.0013446
                   5,            0.059843,            0.031361,                   0,           0.0033333,             0.57895,            0.012963,           0.0034941,            0.042831,            0.018609,                   0,            0.084616,           0.0016158,           0.0016158
                   6,            0.078652,            0.029683,                   0,           0.0064946,             0.73684,            0.034524,           0.0082174,            0.043394,            0.017567,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.076284,            0.026844,                   0,             0.03084,             0.68421,             0.12281,             0.02594,            0.044443,            0.017206,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.051126,            0.027533,                   0,             0.26759,             0.38499,             0.24656,            0.070254,            0.035562,            0.016457,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.070094,             0.02525,                   0,             0.46179,             0.47368,             0.37971,            0.097121,            0.031942,            0.016029,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.082183,            0.027269,                   0,             0.29263,             0.42105,             0.32267,             0.10497,            0.027844,            0.014506,                   0,            0.070883,           0.0028832,           0.0028832
                  11,             0.05006,            0.024816,                   0,             0.44812,             0.47027,             0.37217,             0.10508,             0.02943,            0.013759,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.044027,            0.022839,                   0,             0.46009,             0.40435,              0.4917,             0.22285,            0.037517,             0.01261,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.047283,            0.023334,                   0,             0.80151,             0.47368,             0.60704,             0.29269,            0.043776,            0.011172,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.046341,            0.024913,                   0,             0.82364,             0.57895,             0.75156,             0.34727,            0.039438,            0.010671,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.059884,            0.023389,                   0,             0.72079,             0.68421,             0.67878,             0.29039,            0.039954,            0.010253,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.039641,            0.022672,                   0,             0.81294,             0.57895,             0.75938,             0.32983,            0.037243,            0.010006,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.038749,            0.024526,                   0,             0.60965,             0.65824,             0.66965,             0.31654,            0.036691,            0.011543,                   0,            0.051408,            0.004408,            0.004408
                  18,            0.059078,            0.021119,                   0,             0.78814,             0.78347,             0.78689,             0.29913,            0.032714,             0.01284,                   0,            0.048602,           0.0046021,           0.0046021
                  19,            0.045728,            0.020107,                   0,             0.78655,             0.68421,             0.76768,             0.35049,            0.032958,            0.013743,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.037922,            0.024015,                   0,             0.70439,              0.6273,             0.73714,             0.22946,            0.039803,            0.013554,                   0,            0.042972,           0.0049724,           0.0049724
                  21,            0.041327,            0.019983,                   0,             0.72049,             0.63158,              0.6927,             0.30923,            0.045311,            0.012014,                   0,            0.040149,           0.0051487,           0.0051487
                  22,            0.045582,            0.016841,                   0,             0.48892,             0.80596,             0.71758,             0.23989,            0.037464,            0.010153,                   0,            0.037319,            0.005319,            0.005319
                  23,            0.059173,            0.020289,                   0,             0.69616,              0.8442,             0.81992,             0.31149,            0.038269,           0.0095654,                   0,            0.034483,           0.0054833,           0.0054833
                  24,            0.047027,            0.020385,                   0,             0.65488,             0.68421,             0.78008,             0.38311,            0.037012,           0.0094863,                   0,            0.031642,           0.0056418,           0.0056418
                  25,             0.04102,            0.016896,                   0,             0.74599,              0.6189,             0.73591,              0.2422,            0.039362,           0.0084253,                   0,            0.028794,           0.0057942,           0.0057942
                  26,            0.049939,            0.018068,                   0,             0.77136,             0.73684,             0.81508,              0.2765,            0.031398,           0.0083559,                   0,            0.025941,           0.0059408,           0.0059408
                  27,            0.034783,            0.016758,                   0,             0.75032,             0.73684,             0.79163,             0.30344,            0.045702,           0.0078648,                   0,            0.023081,           0.0060814,           0.0060814
                  28,            0.043778,            0.015678,                   0,             0.75032,             0.73684,             0.79163,             0.30344,            0.045702,           0.0078648,                   0,            0.020216,           0.0062161,           0.0062161
                  29,            0.035725,            0.017419,                   0,             0.79196,             0.84211,             0.83183,             0.33164,            0.034543,           0.0078644,                   0,            0.017345,           0.0063448,           0.0063448
                  30,            0.035381,            0.017712,                   0,             0.88778,             0.83321,             0.89123,             0.28992,            0.034607,           0.0080991,                   0,            0.014468,           0.0064676,           0.0064676
                  31,             0.03854,            0.018644,                   0,             0.82171,             0.73684,             0.80493,             0.38146,            0.039351,           0.0086303,                   0,            0.011584,           0.0065844,           0.0065844
                  32,            0.050281,            0.016404,                   0,             0.82171,             0.73684,             0.80493,             0.38146,            0.039351,           0.0086303,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,            0.047339,            0.014732,                   0,             0.86746,             0.78947,             0.84788,             0.33164,            0.040568,           0.0081668,                   0,            0.006733,            0.006733,            0.006733
                  34,            0.037438,             0.01665,                   0,             0.80496,             0.68421,             0.77637,             0.21895,            0.031075,           0.0075705,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031634,            0.018113,                   0,              0.8724,             0.72041,             0.79149,             0.26147,            0.027423,           0.0080783,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.042478,            0.015757,                   0,              0.8724,             0.72041,             0.79149,             0.26147,            0.027423,           0.0080783,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.061624,            0.017645,                   0,              0.9022,             0.68421,             0.75936,             0.26645,            0.031459,           0.0074619,                   0,            0.006436,            0.006436,            0.006436
